kategori,tarif,tarifnya,murah,mahal,harga,argo,voucher,diskon,ongkos,ongkosnya,ongkir,bayar,fee,promo,promosi,potongan,hemat,kode,aplikasi,app,apk,sistem,server,servernya,error,eror,login,bug,fitur,update,install,uninstall,reinstall,akun,ovo,topup,saldo,gopay,grabpay,gofood,notif,notifikasi,spamming,upgrade,orderan,tampilan,raport,fitur,gocar,gomart,gosend,gobox,gotix,gomed,gomassage,goclean,gopoints,driver,pengemudi,sopir,rating,sopan,baik,ramah,ngeselin,mitra,bapak,gmaps,pengojek,pengojeknya,abang,babang,dijemput,pengendara,armada,kurir,reject,penumpang,customer,order,konsumen,pengguna,pelanggan,cs,pemesan,opik,fiktif,grab,gojek,aplikator,pt,kebijakan,peraturan,pengurus,perusahaan,provider,petinggi,owner,cs,brandnya,service,managemen,suspend,ceo,kompetitor,respon,memecat,recruitment,mengatasnamakan,admin,layanan,penipuan,marketing,sop
harga,0.092105263,0.017801858,0.042569659,0.033281734,0.061919505,0.008513932,0.099071207,0.03869969,0.017801858,0.004643963,0.020897833,0.150154799,0.004643963,0.257739938,0.002321981,0.024767802,0.021671827,0.101393189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aplikasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124072825,0.030343898,0,0.0229265,0.009440324,0.002360081,0,0.048213082,0.013823331,0.003371544,0.021240728,0.012474713,0.005394471,0.008091706,0.000337154,0.069116655,0.122387053,0.026298045,0.105529332,0.136884693,0.016520566,0.036749831,0,0.027646662,0.000337154,0.004383007,0.073162508,0.002360081,0.000674309,0.021240728,0.027646662,0.001348618,0.018880647,0.000674309,0.004045853,0,0.000674309,0.001011463,0.000337154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735708692,0.037196554,0.004306969,0.009005482,0.019185591,0.053641347,0.008613939,0.004306969,0.069303054,0.003132341,0,0.000391543,0.000391543,0.030148786,0.003915427,0.010571652,0.004698512,0.002349256,0.003132341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penumpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131849315,0.180650685,0.445205479,0.047945205,0.029109589,0.058219178,0.066780822,0.002568493,0.011986301,0.024828767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perusahaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384812724,0.325808107,0.013853258,0.005130836,0.010774756,0.00564392,0.000513084,0.023601847,0.002565418,0,0.002052335,0.040020523,0,0.013853258,0,0.020523345,0.002052335,0.002052335,0.035915854,0.000513084,0.001026167,0.007696254,0.030785018,0.042072858,0.018984094,0.003078502,0.006670087
