no,judul,link,konten,tanggal
11,"Nggak Cuma Rossi, Vinales Juga Naik Motor Ini di Luar Lintasan",https://oto.detik.com/motor/d-4052676/nggak-cuma-rossi-vinales-juga-naik-motor-ini-di-luar-lintasan,"Motor Yamaha Nmax mungkin tak asing lagi bagi orang di Indonesia. Tak cuma di Indonesia, motor itu juga sudah beredar di berbagai negara di dunia.

Pebalap kondang, Valentino Rossi, pun memanfaatkan motor itu untuk dijadikan paddock bike, yaitu motor pendukung tim pebalap di luar lintasan. Ternyata tak cuma Rossi yang menggunakan motor itu sebagai paddock bike. Rekan satu timnya, Maverick Vinales juga memanfaatkan Nmax untuk mobilitas di luar lintasan.",2018-06-04
12,"Ini Dia Robocar, Mobil Balap Masa Depan Tanpa Pengemudi",https://oto.detik.com/mobil/d-4052996/ini-dia-robocar-mobil-balap-masa-depan-tanpa-pengemudi,"Sejak Formula E mulai debut pertamanya pada 2014, banyak yang berpikiran makin ke depan balapan mobil bakal lebih modern dan canggih lagi. Bahkan beberapa dari mereka memperkirakan akan ada balapan mobil tanpa awak kemudi. Ternyata, hal tersebut dibenarkan oleh Daniel Simon.
Diberitakan Autoevolution, Daniel Simon adalah orang di belakang desain kendaraan film-film seperti Tron: Legacy, Oblivion, atau Captain America. Lewat ambisinya, ia mempunyai ide untuk menyelenggarakan balapan mobil tanpa awak kemudi yang disebut dengan Roborace. Bahkan Simon sendiri sudah memiliki satu Robocar yang siap untuk dibawa balap.
",2018-06-04
13,"Indonesia Pernah Jadi 'Sarang' Pebalap Dunia, Kapan Akan Terulang Lagi?",https://oto.detik.com/profil/d-4052622/indonesia-pernah-jadi-sarang-pebalap-dunia-kapan-akan-terulang-lagi,"Meski saat ini dunia balap di tanah air kurang begitu eksis, namun Indonesia pernah jadi negara yang didatangi oleh pebalap mancanegara dengan dibangunnya Sirkuit Sentul pada awal 90-an, yang dipelopori oleh Hutomo Mandala Putro (Tommy Soeharto).
Anak ke-5 Soeharto itu sukses menjadikan Sentul sebagai sirkuit ke-2 di Asia setelah Jepang. Setelah pembangunan selesai, Sentul kerap disinggahi oleh pebalap top mancanegara, serta dijadikan sebagai Sirkuit untuk beberapa ajang balap besar seperti A1 GP, Asian F3, ATCC, GP2 Asia, Formula BMW Asia, hingga MotoGP.",2018-06-04
14,"Duo Ducati Naik Podium, Bos Ducati Cium Tangki Motor",https://oto.detik.com/otosport/d-4052556/duo-ducati-naik-podium-bos-ducati-cium-tangki-motor,"Dua pebalap pabrikan Ducati, Jorge Lorenzo dan Andrea Dovizioso berhasil memenangi balapan MotoGP di Mugello, Italia. Tim pabrikan asal Italia itu berhasil membawa pebalapnya finis 1-2 di Mugello, semalam.
Berkat kesuksesan timnya finis 1-2, tak heran bos Ducati bersyukur. Manajer Umum Ducati Corse Luigi Dall'Igna menggambarkan rasa syukurnya dengan mencium motor Lorenzo dan Dovizoso yang diparkir di bawah podium.
",2018-06-04
15,"Indonesia Pernah Jadi 'Sarang' Pebalap Dunia, Kapan Akan Terulang Lagi?",https://oto.detik.com/profil/d-4052622/indonesia-pernah-jadi-sarang-pebalap-dunia-kapan-akan-terulang-lagi,"Meski saat ini dunia balap di tanah air kurang begitu eksis, namun Indonesia pernah jadi negara yang didatangi oleh pebalap mancanegara dengan dibangunnya Sirkuit Sentul pada awal 90-an, yang dipelopori oleh Hutomo Mandala Putro (Tommy Soeharto).
Anak ke-5 Soeharto itu sukses menjadikan Sentul sebagai sirkuit ke-2 di Asia setelah Jepang. Setelah pembangunan selesai, Sentul kerap disinggahi oleh pebalap top mancanegara, serta dijadikan sebagai Sirkuit untuk beberapa ajang balap besar seperti A1 GP, Asian F3, ATCC, GP2 Asia, Formula BMW Asia, hingga MotoGP.
""Pada tahu itu industri balap Indonesia sedang dalam puncaknya, kepakai terus Sentul, buat ajang-ajang besar juga, jadi pebalap-pebalap asing lagi sering-seringnya ke Indonesia saat itu,"" ujar Penggagas sekaligus pembalap dari BMW Team Astra (BTA), Gerry Nasution, saat disambangi detikOto, di Jakarta.",2018-06-04
16,Hambatan Bibit Pebalap Muda Indonesia Dibanding Negara Lain,https://oto.detik.com/otosport/d-4052341/hambatan-bibit-pebalap-muda-indonesia-dibanding-negara-lain,"Dunia balap di Indonesia memang tidak terlalu tersorot seperti olahraga lainnya. Namun bukan berarti tidak ada bibit-bibit jago anak bangsa di dunia balap. Hanya saja memang ada hambatan bagi para bibit pebalap Indonesia.
Seperti yang disampaikan pebalap dari BMW Team Astra, Gerry Nasution, jika mau adu kemampuan bibit pebalap Indonesia dengan negara lain pasti tidak kalah. Namun sayangnya pembibitan yang minim menghambat potensi para pebalap muda tersebut.
""Masalahnya adalah di industri otomotif di Indonesia, industri balap dan sebagainya, pembibitan itu sangat kurang, jadi kesempatan bibit-bibit orang Indonesia berlatih kurang,"" ujarnya saat berbincang dengan detikOto, di Jakarta.",2018-06-04
17,Kenapa Mobil Eropa Identik dengan Harga Mahal?,https://oto.detik.com/mobil/d-4051073/kenapa-mobil-eropa-identik-dengan-harga-mahal,"Mobil Eropa identik dengan harga mahal. Terlebih kalau dibandingkan dengan harga mobil buatan Asia seperti Jepang atau Amerika Serikat. Mahalnya harga tersebut berlaku baik itu harga jualnya hingga biaya servisnya. 
Para pabrikan asal Eropa itu tidak asal menentukan harga jual mobilnya yang terkesan mahal itu. Ada beberapa faktor yang mempengaruhinya. Berikut detikOto kutip dari situs Autotrader, faktor-faktor yang membuat harga mobil buatan Eropa itu mahal.",2018-06-04
18,Warna-warni Suzuki Jimny Terbaru,https://oto.detik.com/mobil/d-4050897/warna-warni-suzuki-jimny-terbaru,"Beberapa waktu lalu, sempat muncul SUV mungil Suzuki Jimny sedang dites di jalanan. Tapi sayangnya, penggemar setia Jimny masih dibuat penasaran soal bentuk Jimny versi terbaru itu. 
Saat itu, keseluruhan permukaan Jimny ditutupi kamuflase sehingga hanya ada beberapa bagian saja yang tampak terlihat. 
Nah tampaknya Otolovers yang juga penggemar mobil Jimny tak perlu lagi penasaran. Pasalnya, mobil tersebut dalam waktu dekat bakal dijual di berbagai negara seluruh dunia. 
",2018-06-04
19,Dominasi Mobil Merek Jepang di Indonesia,https://oto.detik.com/mobil/d-4050840/dominasi-mobil-merek-jepang-di-indonesia,"Mobil-mobil bermerek Jepang kerap kita lihat mendominasi di sebagian besar jalanan Tanah Air. Mulai dari yang harganya murah hingga harga mahal sekalipun tersebar di hampir seantero Indonesia. 
Bisa dibilang mobil merek Jepang cukup mendominasi di Indonesia daripada merek mobil Eropa atau merek mobil buatan negara lain. Otolovers juga sudah pasti lebih akrab dengan mobil keluaran Toyota, Honda, Suzuki dan beberapa merek Jepang lain. ",2018-06-04
20,7 Merek Mobil yang Kalah Perang di Indonesia,https://oto.detik.com/mobil/d-4026842/7-merek-mobil-yang-kalah-perang-di-indonesia,"Merek mobil mewah Infiniti baru saja menutup aktivitas penjualannya di Indonesia. Infiniti yang masuk ke pasar mobil mewah Indonesia sejak tahun 2011 itu akhirnya harus menyerah dan menutup diler satu-satunya di kawasan TB Simatupang, Jakarta Selatan.
Infiniti bukanlah yang pertama. Sebelum Infiniti, ada beberapa merek mobil yang juga harus mengibarkan bendera putih karena tak mampu bersaing dengan merek lain. 
Berikut detikOto rangkum beberapa mobil yang hengkang dari Indonesia berdasarkan data distribusi Gabungan Industri Kendaraan Bermotor Indonesia (Gaikindo).",2018-06-04
